word,derivation
स्वर्,['सूत्रेण विच् प्रत्यये `सार्वधातुकार्धधातुकयोः  इत्यनेन गुणे स्वर् इति रूपं सिध्यति ।']
स्वर्,['स्वृ शब्दोपतापयोः इत्यस्माद्धातोः `अन्येश्यो।़पि दृश्यन्ते   3 2 75  इति']
स्वर्ग,"[' 3 3 121  इति सूत्रेण घञ् प्रत्यये  7 3 53 , ततः `न्यङ्कादीनां च इत्यनेन']"
स्वर्ग,['इत्यनेन कर्मणि घञि कृत्वे स्वर्ग इति रूपम् ।']
स्वर्ग,['कृत्वे स्वर्गः इति रूपम् ।']
स्वर्ग,['सु उपसर्ग पूर्वक `ऋजुगतिस्थानार्जनोपार्जनेषु  इत्यस्माद्धातोः हलश्च']
स्वर्ग,['सु पूर्वक `अर्ज अर्जने  इत्यस्माद्धातोः `अकर्तरि च कारके संज्ञायाम्']
द्यो,['`दिवु क्रीडाविजिगीजाकान्तगतिषु  इत्यस्माद्धातोः उणादयो बहुलम् `इति']
द्यो,['`द्युत दीप्तौ  इत्यस्माद्धातोः डोः प्रत्यये द्यो इति रूपम् ।']
द्यो,['द्यु अभिगमने इति धातोः विच् प्रत्यये द्यो इति रूपम् ।']
द्यो,['बाहुलकात् डो प्रत्यये द्यो इति रूपम् ।']
द्यो,['None']
दिव्,['दिवु क्रीडाविजिगीषाद्युतिस्तुतिमोदमदस्वप्न कान्तिगतिषु इति धातोः बाहुलकात्']
दिव्,['दिवेः दिविः क्विपि च्छ्वेः इति ऊटि   दिव् इति रूपम् ।']
दिव्,['None']
त्रिविष्टप,['`विशप्रवेशने  इति धातोः  विटपविष्टपविशिपोलपाः इति उणादिसूत्रेण क प्रत्ययः']
त्रिविष्टप,['तस्य च तुट् । `व्रश्चभ्रश्च    इत्यादिवा षत्वे विष्टपम् इति रूपम् ।']
अमर,"['`मृङ् प्राणत्यागे  इति धातोः `पचाद्यच्  इत्यनेन अच् प्रत्यये, गुणे मर']"
अमर,"['इति रूपम्, न मरः अमरः ।']"
निर्जर,['जरः निर्जरः इति रूपम् ।']
निर्जर,"['निर् उपसर्गपूर्वक `जृष् वयोझनौ  इति धातोः, अच् इति `पचाद्यम्  ततः गुणेः']"
देव,['इति रूपम् ।']
देव,['क्रीडार्थक दिव् धातोः `प्रचाद्यच्   3 1 134  इत्यनेन अच् प्रत्यये गुणे देव']
विबुध,['इत्यनेन कः प्रत्यये विबुधः इति रूपम् ।']
विबुध,['विउपसर्गपूर्वक `बुध अवगमने  इति धातोः `इगुपधाज्ञाप्रीकिरः कः  3 1 135']
सुर,['ऐश्वर्यार्थक `षुर धातोः इगुपधज्ञाप्रीकिरः कः   3 1 135  इत्यनेन कः']
सुर,['प्रत्यये सुर इति रूपम् ।']
सुर,['प्रत्यये सुरः इति रूपम् ।']
सुर,['प्रसवार्थक पुर धातोः अर्श आध्यच् इत्यनेन अच् प्रत्यये सुर इति रूपम् ।']
सुर,['सुपूर्वक `रा आदाने  इति धातोः `इगुपधज्ञाप्रीकिरः कः  इत्यनेन कः']
सुर,['सुपूर्वक `राजृदीप्तौ  इति धातोः `अन्येभ्योपि  दृश्यन्ते इत्यनेन ड प्रत्यये']
सुर,['स्फुर इति रूपम् ।']
सुपर्वन्,['इति रूपम् ।']
सुपर्वन्,['शकिभ्यो इत्यनेन वनिप् प्रत्यये सार्वधातकार्धधतुकयो इत्यनेन गुण सुपर्वन्']
सुपर्वन्,['सुपूर्वक `पृपालनपूरणयोः  इत्यस्माद्वातोः  स्नामदिपद्यर्तिपृश्णादि  4 112']
सुमनस्,['सुपूर्वक मनु ।']
