word,synonyms,Kannada,English,Hindi
स्वर्,पटुपर्णी हैमवती स्वर्णक्षीरी हिमावती,ಘಂಟಾಮಣಿ ಸೊಪ್ಪು,A medicinal earth,मकोय
स्वर्ग,स्वर्ग स्वर् नाक त्रिदिव त्रिदशालय सुरलोक द्यो दिव् त्रिविष्टप मन्दर,ಸ್ವರ್ಗಲೋಕ,Paradise ,स्वर्गलोक 
नाक,वल्मीक वामलूर नाकु,ಹುತ್ತ,Ant bill,"दीमक, चींटी आदि द्वारा"
त्रिदिव,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
त्रिदशालय,स्वर्ग स्वर् नाक त्रिदिव त्रिदशालय सुरलोक द्यो दिव् त्रिविष्टप मन्दर,ಸ್ವರ್ಗಲೋಕ,Paradise ,स्वर्गलोक 
सुरलोक,स्वर्ग स्वर् नाक त्रिदिव त्रिदशालय सुरलोक द्यो दिव् त्रिविष्टप मन्दर,ಸ್ವರ್ಗಲೋಕ,Paradise ,स्वर्गलोक 
द्यो,खद्योत ज्योतिरिङ्गण,ಮಿಂಚುಹುಳ,A fire-fly,जुगनू
दिव्,दिव्योपपादुका,ಸ್ವರ್ಗದಲ್ಲಿರುವವರು,Self-existent as celestial beings,स्वर्गाय देवता आदि
त्रिविष्टप,स्वर्ग स्वर् नाक त्रिदिव त्रिदशालय सुरलोक द्यो दिव् त्रिविष्टप मन्दर,ಸ್ವರ್ಗಲೋಕ,Paradise ,स्वर्गलोक 
अमर,क्रोधन अमर्षण कोपी ,ಸಿಟ್ಟುಳ್ಳವನು,"Angry, wrathful",क्रोध करने वाले
निर्जर,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
देव,बलभद्र प्रलम्बघ्न बलदेव अच्युताग्रज रेवतीरमण राम कामपाल हलायुध नीलाम्बर रौहिणेय तालाङ्क मुसलिन् हलिन् सङ्कर्षण सीरपाणि कालिन्दीभेदन बल,ಬಲರಾಮ,Balarama,बलराम
त्रिदश,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
विबुध,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
सुर,मन्दाकिनी वियद्गङ्गा स्वर्णदी सुरदीर्घिका,ಆಕಾಶ ಗಂಗೆ,The celestial Ganges,देवगंगा
